parietal_endo_rep1	parietal_endo_rep2	parietal_endo_rep3	parietal_endo_rep4	parietal_endo_rep5	parietal_endo_rep6
Rab3gap1	133	82	67	41	85	92
Zranb3	20	11	15	9	6	12
R3hdm1	134	95	57	36	99	92
Ubxn4	743	461	309	287	664	615
Mcm6	183	109	66	56	136	119
Dars	188	122	54	73	132	128
Cxcr4	0	1	0	0	1	1
Thsd7b	0	0	0	0	0	1
Gm15675	4	2	2	3	4	1
Cd55	140	78	41	30	74	82
C4bp	5	1	0	0	2	2
Pfkfb2	10	4	2	3	5	6
Yod1	55	31	14	16	19	27
AA986860	30	22	16	14	19	23
Fcmr	2	1	0	2	4	0
Il24	0	0	0	0	0	0
Il19	1	1	0	0	0	1
Mapkapk2	197	127	78	51	150	138
Dyrk3	38	19	13	5	25	23
Eif2d	59	29	23	21	39	51
Rassf5	1	0	1	3	2	2
Ikbke	7	6	3	2	7	5
Srgap2	72	52	30	22	64	56
Fam72a	11	9	4	4	9	4
Avpr1b	0	0	0	0	0	0
Rab7b	6	1	3	1	1	1
Slc26a9	0	1	0	1	1	2
Pm20d1	4	6	0	0	1	4
Slc41a1	43	44	13	10	35	37
Rab29	8	6	3	4	8	6
Nucks1	1044	693	410	394	815	780
Slc45a3	81	64	26	24	56	61
Elk4	100	46	32	17	54	53
Mfsd4a	19	11	10	6	15	17
Cdk18	5	1	2	0	2	7
Lemd1	0	0	0	0	1	0
Klhdc8a	0	1	0	0	1	0
Nuak2	6	3	5	0	3	2
Tmcc2	1	2	1	2	2	2
Dstyk	51	32	18	12	39	31
Rbbp5	21	17	13	13	18	21
Tmem81	4	0	1	0	0	0
Cntn2	0	0	0	0	0	0
Nfasc	1	1	1	0	0	1
Lrrn2	0	0	0	0	1	0
Mdm4	122	82	52	40	77	75
Pik3c2b	4	6	2	1	4	5
Ppp1r15b	216	103	78	55	120	111
Plekha6	37	25	16	15	13	23
Golt1a	4	5	1	0	3	2
Etnk2	4	4	4	2	7	12
Sox13	32	10	9	14	18	23
Snrpe	1136	826	577	520	1136	979
Gm26706	1	1	0	0	0	0
Zc3h11a	16	17	4	7	7	11
Gm38394	8	7	6	6	7	4
Lax1	0	0	0	0	0	0
Atp2b4	6	3	2	3	5	6
Optc	0	0	0	0	0	0
Prelp	0	0	1	0	0	0
Fmod	0	0	0	0	0	0
Btg2	2148	1050	824	659	1431	1525
Chit1	2	1	1	0	0	0
Chil1	11	15	7	5	7	9
Mybph	3	0	0	0	2	0
Adora1	73	51	32	35	67	72
Myog	0	0	0	0	0	0
Ppfia4	8	4	4	6	1	3
Tmem183a	154	72	49	37	97	103
Cyb5r1	18	13	8	4	10	12
Adipor1	317	215	126	101	217	216
Klhl12	50	29	7	11	37	30
Rabif	78	66	34	22	56	67
Kdm5b	485	282	151	139	328	334
Syt2	0	0	0	0	0	1
Ppp1r12b	11	7	11	5	10	11
Ube2t	28	20	14	14	31	28
Ptpn7	0	0	1	0	1	1
Arl8a	127	104	51	28	91	87
Elf3	55	77	31	17	72	46
Rnpep	69	44	18	21	45	36
Timm17a	660	350	236	200	467	475
Lmod1	5	1	0	2	2	0
Shisa4	30	15	8	9	19	11
Ipo9	50	36	13	27	28	50
Nav1	60	31	17	17	41	34
Gm38399	5	3	1	1	3	1
Csrp1	338	140	178	146	281	227
Phlda3	443	216	125	128	316	297
Tnni1	5	5	5	3	11	18
Lad1	52	9	7	8	33	29
Tnnt2	61	41	22	4	50	51
Pkp1	0	2	0	0	1	0
Tmem9	150	95	51	57	92	100
Cacna1s	0	1	0	0	0	0
Kif21b	2	0	1	2	3	4
X5730559C18Rik	46	20	17	22	44	40
Camsap2	51	28	21	21	47	43
Ddx59	18	8	2	11	9	15
Kif14	23	12	8	7	14	14
Platr23	0	0	0	0	0	0
Zfp281	101	44	24	18	49	53
Gm19705	2	0	0	0	0	0
Platr22	0	0	1	0	0	0
Nr5a2	4	3	3	3	5	3
A430106G13Rik	2	0	0	0	1	0
Nek7	83	60	26	26	46	61
Lhx9	1	2	0	1	0	0
X2310009B15Rik	98	94	58	62	93	109
Dennd1b	91	73	34	32	49	59
Zbtb41	34	32	14	8	21	31
Aspm	51	43	17	11	33	36
Cfh	0	0	0	1	0	0
Kcnt2	1	0	0	0	1	1
Cdc73	202	129	79	60	137	143
