ecto_rep1	ecto_rep2	ecto_rep3	ecto_rep4	ecto_rep5	ecto_rep6
A430106G13Rik	14	0	1	1	1	1
Nek7	182	126	37	45	56	66
Lhx9	3	0	1	2	2	1
X2310009B15Rik	167	119	46	56	68	78
Dennd1b	130	107	35	27	38	32
Zbtb41	74	41	22	16	32	25
Aspm	51	43	24	30	30	38
Cfh	0	0	0	0	0	0
Kcnt2	1	0	3	0	0	0
Cdc73	199	156	49	45	59	80
B3galt2	1	2	0	0	2	1
Glrx2	269	190	61	56	109	91
Trove2	131	80	33	41	48	58
Uchl5	175	97	38	57	72	77
Rgs2	48	27	3	8	6	8
Rgs18	0	0	0	0	0	0
Pla2g4a	207	106	28	18	49	37
Ptgs2	96	67	10	5	16	17
BC003331	124	104	35	39	59	47
Tpr	1308	895	387	374	495	508
Hmcn1	90	84	26	40	29	56
Gm10138	37	25	5	11	10	16
Ivns1abp	244	181	68	70	111	107
Swt1	189	131	49	32	85	80
Trmt1l	55	23	12	12	17	23
Rnf2	202	121	41	39	60	77
Fam129a	19	13	7	5	7	9
X2810414N06Rik	1	2	1	0	0	0
Edem3	64	31	9	10	8	19
X1700025G04Rik	87	66	31	31	32	43
Tsen15	149	82	50	44	49	54
Colgalt2	2	3	0	0	0	0
Rgl1	9	11	2	6	2	3
Arpc5	843	535	162	152	261	257
Ncf2	3	3	1	0	1	3
Smg7	106	73	36	28	38	33
Nmnat2	1	2	1	1	0	0
Lamc2	239	172	47	46	74	73
Lamc1	179	132	42	49	71	74
Shcbp1l	0	0	0	0	0	1
Dhx9	412	244	99	85	127	142
Npl	7	5	1	0	1	2
Rgs8	2	0	0	0	0	1
Rgs16	6	4	3	4	1	2
Rnasel	13	0	3	3	1	1
Teddm2	1	2	0	1	0	1
Glul	175	124	49	36	72	64
Cacna1e	0	0	0	0	0	0
Gm9530	1	3	0	1	1	3
Ier5	1115	589	164	147	228	225
Mr1	26	17	4	8	6	8
Stx6	132	82	28	33	37	39
BC034090	0	0	1	1	2	3
Xpr1	78	62	19	18	20	25
Acbd6	354	239	89	72	100	120
Lhx4	0	1	0	0	0	0
Qsox1	361	378	38	46	97	113
Cep350	176	125	35	41	55	76
Tor1aip1	148	103	39	30	54	49
Tor1aip2	239	159	60	47	73	97
Fam163a	0	0	0	0	0	0
Tdrd5	2	2	0	0	2	0
Axdnd1	0	0	0	0	0	0
Gm2000	21	13	7	7	8	12
Soat1	89	65	48	30	54	49
Gm10031	7	3	0	1	3	6
Abl2	140	85	35	15	29	34
Tor3a	31	40	20	9	19	15
Fam20b	43	49	12	15	17	11
Ralgps2	302	225	91	84	145	128
Angptl1	0	0	0	0	1	0
X4930439D14Rik	1	1	0	0	2	0
Rasal2	80	61	25	12	37	33
Cryzl2	13	5	3	3	3	5
Brinp2	0	0	2	1	1	0
Astn1	2	1	0	0	0	0
Cop1	183	103	42	39	60	52
Tnr	0	0	0	0	0	0
X4930523C07Rik	33	22	9	7	18	14
Mrps14	745	447	160	170	266	266
Cacybp	835	531	198	213	278	296
Rabgap1l	64	66	10	9	25	31
Rc3h1	175	106	29	39	60	55
Serpinc1	11	4	2	0	3	3
Zbtb37	23	18	8	7	17	19
Dars2	28	27	5	21	10	18
Gm37634	0	0	0	0	2	1
Cenpl	22	18	6	5	8	10
Klhl20	25	23	6	9	9	13
Ankrd45	1	1	1	1	0	0
