early_ectoderm_NA18511	early_ectoderm_NA18856	early_ectoderm_NA18858	early_ectoderm_NA18912	early_ectoderm_NA19140	early_ectoderm_NA19159	early_ectoderm_NA19160	early_ectoderm_NA19210
CSF3R	6	0	0	0	0	0	2	0
GRIK3	10	1	11	11	2	2	14	1
ZC3H12A	75	1	42	3	4	9	107	6
MEAF6	9418	244	2899	952	817	1493	6779	398
SNIP1	998	64	366	229	167	286	825	64
DNALI1	4159	110	912	496	378	641	4104	151
GNL2	4685	100	1521	550	251	573	3820	187
RSPO1	3976	191	332	771	1053	1055	4234	269
C1orf109	2675	67	993	252	133	393	1610	115
CDCA8	5500	172	1424	520	363	956	3743	301
EPHA10	11	3	8	7	6	4	26	2
MANEAL	161	0	88	7	13	17	109	4
YRDC	2047	57	903	192	130	321	1712	75
C1orf122	9528	406	4789	1582	1016	1384	10145	383
MTF1	945	43	272	165	137	234	639	68
INPP5B	578	45	209	179	142	199	457	63
SF3A3	10051	252	3453	1080	609	1529	7775	431
FHL3	934	39	656	204	86	158	1390	56
UTP11	4507	158	1608	594	361	788	3796	225
POU3F1	1144	20	2475	152	124	206	842	55
RRAGC	2005	54	1092	226	159	272	1652	74
MYCBP	1649	97	515	421	292	608	1264	186
GJA9	0	7	0	12	6	19	0	2
RHBDL2	26	18	11	53	63	70	43	24
AKIRIN1	13718	429	6917	1921	1083	2474	12362	630
NDUFS5	57598	1467	20480	5850	3448	4739	47556	2501
MACF1	8573	1027	3378	3657	2394	4746	5832	1442
BMP8A	12	3	10	7	8	13	19	8
PABPC4	9784	185	3276	761	404	1135	7513	304
HEYL	98	8	33	18	27	48	70	11
NT5C1A	0	0	0	0	0	0	0	0
HPCAL4	28	4	2	3	4	23	81	5
PPIE	4350	157	1494	509	302	746	3651	236
BMP8B	25	3	1	2	2	3	18	1
OXCT2	3	1	3	0	0	2	6	1
TRIT1	1813	160	470	640	357	730	1613	224
MYCL	958	26	119	105	84	141	970	24
MFSD2A	831	17	105	52	33	100	466	25
CAP1	9934	274	4513	1224	672	1459	8981	417
