meso_rep1	meso_rep2	meso_rep3	meso_rep4	meso_rep5	meso_rep6
Dhx9	585	254	293	279	154	169
Npl	18	9	9	9	5	4
Rgs8	0	1	1	1	0	0
Rgs16	59	22	21	13	13	7
Rnasel	16	5	1	5	3	2
Teddm2	1	2	1	0	2	2
Glul	258	95	118	96	92	94
Cacna1e	0	1	0	0	1	0
Gm9530	4	3	1	2	0	2
Ier5	891	385	265	230	201	223
Mr1	36	23	19	16	13	17
Stx6	165	80	72	68	46	43
BC034090	21	7	13	7	5	4
Xpr1	103	40	53	38	30	32
Acbd6	561	251	236	236	177	182
Lhx4	1	0	0	0	0	0
Qsox1	54	34	26	15	24	23
Cep350	174	76	107	90	56	68
Tor1aip1	205	74	94	81	52	65
Tor1aip2	203	100	105	100	72	67
Fam163a	3	1	0	1	0	3
Tdrd5	7	3	0	3	0	0
Axdnd1	3	1	2	1	1	2
Gm2000	31	16	21	19	15	18
Soat1	326	123	179	202	141	140
Gm10031	6	5	7	2	2	5
Abl2	94	57	47	39	25	38
Tor3a	20	9	6	12	6	8
Fam20b	58	27	18	28	19	24
Ralgps2	299	136	153	174	92	95
Angptl1	12	5	3	6	0	4
X4930439D14Rik	1	0	1	1	0	0
Rasal2	53	35	31	29	15	22
Cryzl2	6	5	4	6	7	2
Brinp2	2	0	0	1	0	0
Astn1	3	4	2	0	0	3
Cop1	293	123	122	137	72	100
Tnr	1	0	3	0	0	0
X4930523C07Rik	7	2	1	4	2	1
Mrps14	909	369	409	410	303	292
Cacybp	1540	582	704	653	482	414
Rabgap1l	54	21	28	22	18	16
Rc3h1	240	94	116	105	88	81
Serpinc1	27	5	12	8	1	4
Zbtb37	59	30	30	26	22	24
Dars2	70	30	24	26	12	15
Gm37634	1	2	0	0	1	1
Cenpl	52	25	17	17	10	15
Klhl20	43	18	19	16	18	11
Ankrd45	4	2	2	1	0	1
Prdx6	1667	690	732	684	546	555
