mesoderm_NA18511	mesoderm_NA18856	mesoderm_NA18858	mesoderm_NA18912	mesoderm_NA19140	mesoderm_NA19159	mesoderm_NA19160	mesoderm_NA19210
SMIM12	962	95	99	434	69	48	1784	15
GJB5	0	0	0	0	0	0	0	0
GJB4	0	0	0	0	0	0	0	0
GJB3	1	0	1	1	0	0	1	0
GJA4	2	0	0	4	1	0	24	0
DLGAP3	12	4	6	6	1	0	26	0
TMEM35B	1	49	0	306	35	31	3	5
ZMYM6	75	22	4	151	20	13	133	4
ZMYM1	314	124	31	483	78	59	695	21
SFPQ	7312	863	492	3880	824	560	13400	154
ZMYM4	779	314	29	1534	280	178	1644	55
KIAA0319L	492	124	30	695	127	77	812	22
NCDN	137	9	19	44	8	4	225	4
TFAP2E	1	1	0	7	3	0	1	0
PSMB2	5341	620	491	2761	483	317	10172	73
C1orf216	101	9	3	41	8	5	194	2
CLSPN	1618	238	69	777	206	140	3088	59
AGO4	146	130	4	465	97	59	300	12
AGO1	321	50	43	215	42	28	627	10
AGO3	494	211	22	1004	177	133	942	39
TEKT2	22	8	4	11	1	4	59	2
ADPRHL2	576	63	46	255	44	43	1204	13
COL8A2	159	2	1	27	4	5	324	1
TRAPPC3	1138	115	104	479	90	66	2349	17
MAP7D1	1044	92	44	380	57	50	1836	14
THRAP3	3640	600	264	2723	487	355	7122	99
SH3D21	75	4	7	34	9	8	212	2
EVA1B	1831	132	92	469	75	118	3433	22
STK40	223	48	13	155	37	18	449	11
LSM10	1313	131	101	503	95	71	2299	16
OSCP1	161	23	3	67	5	13	282	1
MRPS15	3291	398	265	1511	273	231	6242	63
CSF3R	25	1	2	28	3	1	70	1
GRIK3	2	4	0	5	2	1	2	0
ZC3H12A	48	1	3	10	1	2	71	0
MEAF6	1252	149	87	649	135	61	2611	21
SNIP1	175	48	16	228	42	20	363	6
DNALI1	604	47	25	236	36	31	1497	8
GNL2	883	119	55	558	109	56	1869	19
RSPO1	435	14	5	132	32	27	783	0
C1orf109	355	37	45	181	36	22	710	6
CDCA8	576	134	46	326	91	61	1254	27
EPHA10	1	0	0	3	0	0	4	0
MANEAL	10	5	5	8	0	2	14	0
YRDC	557	59	61	229	19	26	990	9
C1orf122	3096	233	206	1142	188	140	5606	40
MTF1	118	18	10	138	20	11	257	9
INPP5B	83	45	4	213	35	17	205	6
SF3A3	1609	237	140	942	172	129	3291	44
FHL3	809	74	45	512	53	43	1874	10
UTP11	1024	134	104	637	108	78	2170	35
POU3F1	14	1	15	27	3	1	37	0
RRAGC	503	23	54	191	24	27	970	7
MYCBP	444	111	28	478	70	53	858	20
GJA9	0	2	0	7	1	1	0	0
RHBDL2	4	3	0	31	4	1	8	2
AKIRIN1	2065	277	290	1184	172	185	4353	46
NDUFS5	11099	1391	1084	5648	1177	531	27963	267
MACF1	1226	561	94	2271	395	298	2401	89
BMP8A	1	1	1	7	0	0	7	0
PABPC4	1967	228	144	849	138	118	3902	37
HEYL	10	6	2	56	7	2	34	0
NT5C1A	0	0	0	1	0	0	0	0
HPCAL4	1	0	1	2	0	0	4	0
PPIE	658	109	60	389	64	61	1531	18
BMP8B	0	0	0	1	1	0	1	0
OXCT2	1	0	1	0	0	0	0	0
TRIT1	343	91	26	463	65	53	653	20
MYCL	48	16	7	40	5	7	138	1
MFSD2A	21	3	3	24	2	3	73	0
CAP1	2904	309	264	1452	230	171	5696	59
PPT1	1148	143	91	496	83	61	2226	26
RLF	445	179	25	952	162	106	1070	34
TMCO2	0	0	0	0	0	0	0	0
ZMPSTE24	408	72	39	397	60	51	731	17
COL9A2	184	34	16	187	28	4	724	8
SMAP2	305	27	7	200	33	29	545	4
ZFP69B	64	13	13	53	11	11	151	2
ZFP69	32	5	3	35	8	5	64	3
EXO5	84	14	6	50	11	5	191	3
ZNF684	67	26	10	62	10	8	137	2
RIMS3	48	10	5	44	10	6	114	2
NFYC	662	94	45	445	84	78	1294	20
KCNQ4	1	0	0	3	2	0	6	1
CITED4	68	9	25	55	7	4	164	1
CTPS1	792	148	59	560	119	70	1789	18
SLFNL1	1	4	0	57	13	10	3	4
SCMH1	328	395	22	2088	360	251	655	83
FOXO6	3	0	0	2	0	0	17	0
EDN2	0	1	0	0	0	0	0	0
HIVEP3	9	11	0	57	11	3	18	2
AC119676.1	0	0	0	0	0	0	0	0
GUCA2B	0	0	0	0	0	0	0	0
GUCA2A	1	0	1	0	0	0	0	0
FOXJ3	222	279	17	1294	205	138	457	33
RIMKLA	16	5	14	7	2	0	50	1
ZMYND12	6	3	0	6	0	1	16	0
PPCS	905	86	67	446	70	51	1895	16
CCDC30	44	18	0	125	10	7	131	4
PPIH	1267	197	110	825	169	89	2775	44
YBX1	24542	3543	1834	15018	2914	1989	47213	594
CLDN19	29	3	3	22	0	4	111	1
P3H1	826	56	30	302	40	45	1544	10
C1orf50	32	62	2	255	40	23	75	5
TMEM269	7	7	0	9	1	0	10	1
SVBP	1451	170	95	998	126	99	3246	31
ERMAP	59	7	8	66	9	13	117	0
ZNF691	88	13	11	76	13	3	199	2
SLC2A1	4166	127	109	1092	160	293	6348	25
FAM183A	34	25	1	33	1	6	37	0
EBNA1BP2	1528	149	184	692	116	100	2810	33
CFAP57	7	4	2	23	1	0	15	0
TMEM125	21	0	20	5	1	0	31	0
C1orf210	7	1	11	1	0	0	21	0
TIE1	8	0	0	4	0	0	5	0
MPL	0	0	0	5	0	0	0	0
CDC20	1353	240	178	759	166	121	2803	35
ELOVL1	668	47	43	216	30	27	1154	9
MED8	918	63	66	317	62	41	1430	11
SZT2	164	43	8	181	27	15	299	6
HYI	683	48	31	365	74	49	1340	6
PTPRF	653	79	65	387	47	50	1299	14
KDM4A	322	71	36	325	56	38	636	6
ST3GAL3	124	174	6	534	137	87	255	26
ARTN	4	0	12	1	0	0	9	0
IPO13	177	8	16	72	10	9	331	3
DPH2	200	20	32	76	14	13	370	6
ATP6V0B	2985	305	394	1727	239	194	5800	51
B4GALT2	734	60	45	320	37	56	1531	14
CCDC24	58	9	4	50	6	5	98	1
SLC6A9	87	7	3	77	6	5	181	4
KLF17	0	0	0	0	0	0	0	0
KLF18	0	0	0	0	0	0	0	0
DMAP1	637	52	51	301	55	34	1163	8
ERI3	1254	174	88	915	154	112	2687	41
RNF220	434	97	56	640	71	34	838	16
TMEM53	146	21	25	103	18	11	376	4
ARMH1	6	9	0	129	26	13	20	0
KIF2C	524	149	41	378	89	61	1268	18
